id,depot_lat,depot_long,drive_limit,duty_limit,start_date,end_date,weekday,start_time,end_time,off_duty
9,44.8849345,-93.2131232,10,15,1/1/2022,,3,6:00,19:00,FALSE
9,44.8849345,-93.2131232,10,15,1/1/2022,,4,6:00,19:00,FALSE
9,44.8849345,-93.2131232,10,15,1/1/2022,,5,6:00,19:00,FALSE
9,44.8849345,-93.2131232,10,15,1/1/2022,,6,6:00,19:00,TRUE
9,44.8849345,-93.2131232,10,15,1/1/2022,,7,6:00,19:00,TRUE
10,44.8849345,-93.2131232,10,15,1/1/2022,,1,15:00,2:30,FALSE
10,44.8849345,-93.2131232,10,15,1/1/2022,,2,15:00,2:30,FALSE
10,44.8849345,-93.2131232,10,15,1/1/2022,,3,15:00,2:30,FALSE
10,44.8849345,-93.2131232,10,15,1/1/2022,,4,15:00,2:30,FALSE
10,44.8849345,-93.2131232,10,15,1/1/2022,,5,15:00,2:30,FALSE
10,44.8849345,-93.2131232,10,15,1/1/2022,,6,15:00,2:30,TRUE
10,44.8849345,-93.2131232,10,15,1/1/2022,,7,15:00,2:30,TRUE
11,44.8849345,-93.2131232,10,15,1/1/2022,,1,15:00,2:30,FALSE
11,44.8849345,-93.2131232,10,15,1/1/2022,,2,15:00,2:30,FALSE
11,44.8849345,-93.2131232,10,15,1/1/2022,,3,15:00,2:30,FALSE
11,44.8849345,-93.2131232,10,15,1/1/2022,,4,15:00,2:30,FALSE
11,44.8849345,-93.2131232,10,15,1/1/2022,,5,15:00,2:30,FALSE
11,44.8849345,-93.2131232,10,15,1/1/2022,,6,15:00,2:30,TRUE
11,44.8849345,-93.2131232,10,15,1/1/2022,,7,15:00,2:30,TRUE
12,44.8849345,-93.2131232,10,15,1/1/2022,,1,3:30,15:00,TRUE
12,44.8849345,-93.2131232,10,15,1/1/2022,,2,3:30,15:00,TRUE
12,44.8849345,-93.2131232,10,15,1/1/2022,,3,3:30,15:00,TRUE
12,44.8849345,-93.2131232,10,15,1/1/2022,,4,3:30,15:00,TRUE
12,44.8849345,-93.2131232,10,15,1/1/2022,,5,3:30,15:00,TRUE
12,44.8849345,-93.2131232,10,15,1/1/2022,,6,3:30,15:00,FALSE
12,44.8849345,-93.2131232,10,15,1/1/2022,,7,3:30,15:00,FALSE
13,44.8849345,-93.2131232,10,15,1/1/2022,,1,3:30,15:00,TRUE
13,44.8849345,-93.2131232,10,15,1/1/2022,,2,3:30,15:00,TRUE
13,44.8849345,-93.2131232,10,15,1/1/2022,,3,3:30,15:00,TRUE
13,44.8849345,-93.2131232,10,15,1/1/2022,,4,3:30,15:00,TRUE
13,44.8849345,-93.2131232,10,15,1/1/2022,,5,3:30,15:00,TRUE
13,44.8849345,-93.2131232,10,15,1/1/2022,,6,3:30,15:00,FALSE
